ID,Nombre,CIF,Email,Teléfono,Segment,Stage,Flow,Tipo,Kind,Tags,Dirección,Fecha Creación,Última Actualización
c_017efd7bd599,"Las tablas",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_01843fa690e8,"Hotel Welington",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_03c9f4701b22,"Flahertys",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_050d815bae25,"Terraza campo del moro",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_056509c09ecb,"Kiss chupitos",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_05be62d59c09,"Akangas",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_05bec0110155,"jane",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_05cb833a600c,"Flahertys",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_06fc12ce00ac,"tienda stoo",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_0773f5b5c3bd,"Gabys Bagels",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_08f567f92176,"Sea Beach",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_096231e4b714,"Terraza campo del moro",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_0a102ec0716a,"Bulo",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_0e6afcd1b364,"La Rotonda de Mirasierra",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_0ee00ba9eebc,"La embajada",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_0f51a51efa39,"santeria",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_10e526fc82f4,"La clandestina",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_1143a55a02ea,"bn group",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_114c72b30fd1,"Mantequerias Sanz",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_116265f69a0c,"Stop Supermercado",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_12b487a055c0,"Corte Inglés",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_12e34d5f77e9,"vinalium",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_12e63a26bdcc,"sls",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_14ae7435f670,"Contacto",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_14e91ba7ce4a,"Chica Club",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_16a800d3b4c4,"Bajío",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_17acd8ddae25,"catering la lloca",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_17f0fb290786,"Liquor Store",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_18091f05e110,"Roto Formigual",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_1baddf0be815,"Pecaditos",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_1cbeeb25a80b,"Cantina Azul",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_1d0d120ab4bb,"Delirium",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_1e38297466a1,"Florida Park",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_1f3f402de3a1,"Richelieu",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_204dbf39fd95,"shoko",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_2110ddb84720,"La Bicicleta Roja",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_2173cabd83c3,"La Bicicleta Roja",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_21f7138cace8,"Tiare Beach Club",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_224e9854970f,"Las Terrazas",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_242f3f536077,"Le Clab",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_251147c4703e,"Senor Bigote",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_26b5777e1636,"Bistró Río",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_28b389c9ac06,"Catering the cook",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_291801030675,"Carbónicas Alvarez",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_293e93789db2,"feroz",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_2a0f2a94fbac,"Devnis Menorca",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_2b393afce632,"Grupo Boia",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_2dd6944a555a,"Chez Pepito",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_2ea29b97f6af,"Uval",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_2ea8babf3a59,"catering stan",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_2fcc71b35eac,"Chica Beach",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_300cd4aac30a,"Catering Samantha",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_301cba1ce38f,"clandestino",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_306e2be21431,"Bajío",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_30fb9e9285c4,"coctel sunsrise",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_32493e2eac24,"vila viniteca",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_32654d9cbb49,"Asador Galino Pueyo",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_32f6e470d952,"Corte Inglés",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_340e89a45d3c,"Marea",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_343a04180bac,"Fuerte Group Hotels",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_348521d82c27,"Isla Catavinos",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_34cc11c1b471,"Aral",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_3620263a3317,"Café de París",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_38efaba215e4,"Filemon",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_3c5624adc715,"Quirites Inmobiliaria",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_3c65d03837e5,"Ana Rey Catering y tienda",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_3c9a1997c521,"Supernormal",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_3d5badd83832,"Bokaxankla:",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_3efcf737e468,"grupo confitería",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_3f16f0ba579d,"vinalium",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_3f9be0150c4a,"Alacena de Aragón",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_40f8dbd544cf,"Golda",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_4150ed4e3385,"Noname",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_465d19abe855,"Tiare Beach Club",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_4665b6a69d26,"Varma",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_4740ba9443dc,"Grupo Paladium",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_47c30f2655ca,"the green dog",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_4959aae57492,"sls",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_49fa32c057a3,"rosalia",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_4a4c22e320b9,"Ciboulet",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_4aee72f918fd,"Grupo Hyatt",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_4b620a1b5e64,"Casa Ortega",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_4b7829496dba,"Madrid al Cielo",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_4c0b2bd664ff,"catering la lloca",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_4c36c0a46c23,"eMeBe",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_4e26f4228805,"Grupo dejate llevar",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_4f4a16aa5a51,"Las Terrazas",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_4f6cfcdead29,"Taste of America Chueca",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_505944482e33,"Boca Chica",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_527602657f84,"100% Mexico",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_53c3189b7a37,"La Rubia",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_54bdc4775151,"cooper",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_54ee6aecd53e,"Servilline Foods",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_56b4e2fc027c,"Palacio de Alcala",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_5705499f58f3,"Importadora Andes",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_5712219b2dda,"Ke Sotogrande",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_57418c6c5a06,"rosalia",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_5871c605b951,"El Enemigo",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_597de1006ff8,"Mama Campo",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_59c8d39acbf9,"Alejandra de la oliva",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_5ae795da8506,"Grupo dejate llevar",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_5b72e024fd5d,"Hermanos Vinagre",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_5bd142049267,"new Orleans",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_5c8f7c2897ee,"Fuerte Group Hotels",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_5c9340fcf60e,"Chakana",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_5de4f574e537,"Hostal Sol",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_5ebee4c1f1ff,"diene",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_5ec9a7c26453,"el centro cultural",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_5f987fa4525d,"sea sea beach",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_61307dc23db2,"Senor Bigote",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_62f7d3a81a50,"Marea",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_62ffaed73ff7,"Fondeo",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_631684922a88,"La Boheme",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_63e7f309c7bc,"Café de París",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_63eb7f7b6c10,"Adrede",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_6469a2016a96,"Bar Nuevo M40",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_650e4a284827,"shoko",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_67d466836340,"AN Group",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_690f72d7dc0c,"Cafe Pino",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_6b60873e25b4,"Ingo",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_6c1dcdbeed94,"Roto Zaragoza",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
c_6ce73a601683,"Trompo",,,,,POTENCIAL,DIRECT,CLIENTE,ORG,"","",16/10/2025,16/10/2025
