id,Nombre,source,ownerId,Segment,Stage,FLow,distributorPartyId,createdAt
acc_001,Chez Pepito,us_002,us_002,Horeca,ACTIVA,Placement,acc_148,
acc_002,eMeBe ,us_001,us_001,Horeca,ACTIVA,Placement,acc_148,
acc_003,Morenas,us_001,us_001,Horeca,ACTIVA,Placement,acc_148,
acc_004,Chakana,us_001,us_001,Horeca,ACTIVA,Placement,acc_149,
acc_005,El Gordo Velazquez,us_001,us_001,Horeca,ACTIVA,Placement,acc_148,
acc_006,Sabodiga,us_003,us_003,Horeca,ACTIVA,Placement,acc_150,
acc_007,Senor Bigote,us_003,us_003,Horeca,ACTIVA,Placement,acc_150,
acc_008,Cristanal y Gradinata,us_003,us_003,Horeca,ACTIVA,Placement,acc_150,
acc_009,Oysters,us_003,us_003,Horeca,ACTIVA,Placement,acc_150,
acc_010,Sa Tintina ,us_003,us_003,Horeca,ACTIVA,Placement,acc_150,
acc_011,Aqui hay Tomate,us_003,us_003,Horeca,ACTIVA,Placement,acc_150,
acc_012,Cova den Xoroi ,us_003,us_003,Horeca,ACTIVA,Placement,acc_150,
acc_013,Madrid al Cielo ,us_003,us_003,Horeca,ACTIVA,Placement,acc_150,
acc_014,Bar Augustin,us_003,us_003,Horeca,ACTIVA,Placement,acc_150,
acc_015,Supermercado melo,us_001,us_001,Horeca,ACTIVA,Placement,acc_148,
acc_016,Cervecería Santa Barbara,us_002,us_002,Horeca,ACTIVA,Placement,acc_148,
acc_017,Catering the cook,us_002,us_002,Horeca,ACTIVA,Placement,acc_148,
acc_018,Bulo,us_002,us_002,Horeca,ACTIVA,Placement,acc_148,
acc_019,Joselito,us_001,us_001,Horeca,ACTIVA,Placement,acc_148,
acc_020,Adrede,us_001,us_001,Horeca,ACTIVA,Placement,acc_148,
acc_021,Las tablas,us_002,us_002,Horeca,ACTIVA,Placement,acc_148,
acc_022,Gabys Bagels,us_002,us_002,Horeca,ACTIVA,Placement,acc_148,
acc_023,Delirium,us_002,us_002,Horeca,ACTIVA,Placement,acc_148,
acc_024,Terraza campo del moro,us_002,us_002,Horeca,ACTIVA,Placement,acc_148,
acc_025,Abacería Macarena,us_002,us_002,Horeca,ACTIVA,Placement,acc_148,
acc_026,Cockatil Bar 1885,us_001,us_001,Horeca,ACTIVA,Placement,acc_149,
acc_027,La embajada,us_001,us_001,Horeca,ACTIVA,Placement,acc_149,
acc_028,Tiare Beach Club,us_003,us_003,Horeca,ACTIVA,Placement,acc_151,
acc_029,Stop Supermercado,us_001,us_001,Horeca,ACTIVA,Placement,acc_140,
acc_030,Flahertys,us_003,us_003,Horeca,ACTIVA,Placement,acc_140,
acc_031,Burdel de Foc,us_001,us_001,Horeca,POTENCIAL,Placement,acc_150,
acc_032,Filemon,us_002,us_002,Horeca,SEGUIMIENTO,Placement,acc_148,
acc_033,La Rubia,us_002,us_002,Horeca,SEGUIMIENTO,Placement,acc_148,
acc_034,Grupo dejate llevar,us_002,us_002,Horeca,SEGUIMIENTO,Placement,acc_148,
acc_035,Las Terrazas,us_002,us_002,Horeca,SEGUIMIENTO,Placement,acc_148,
acc_036,Lanteo,us_002,us_002,Horeca,ACTIVA,Placement,acc_148,
acc_037,Grupo Dani García,us_002,us_002,Horeca,SEGUIMIENTO,Placement,acc_148,
acc_038,Corte Inglés ,us_002,us_002,Horeca,SEGUIMIENTO,Placement,acc_148,
acc_039,Marea,us_002,us_002,Horeca,SEGUIMIENTO,Placement,acc_148,
acc_040,Grupo Paladium ,us_002,us_002,Horeca,SEGUIMIENTO,Placement,acc_148,
acc_041,Catering Samantha,us_001,us_001,Horeca,SEGUIMIENTO,Placement,acc_148,
acc_042,Varma,us_001,us_001,Horeca,SEGUIMIENTO,Placement,acc_148,
acc_043,Grupo Triciclo,us_001,us_001,Horeca,SEGUIMIENTO,Placement,acc_148,
acc_044,Grupo Mentidero,us_001,us_001,Horeca,SEGUIMIENTO,Placement,acc_148,
acc_045,Palacio de Alcala,us_001,us_001,Horeca,SEGUIMIENTO,Placement,acc_148,
acc_046,Golda,us_001,us_001,Horeca,SEGUIMIENTO,Placement,acc_148,
acc_047,Casa Ortega,us_001,us_001,Horeca,SEGUIMIENTO,Placement,acc_148,
acc_048,Mantequerias Bravo,us_001,us_001,Horeca,SEGUIMIENTO,Placement,acc_148,
acc_049,Taberna Pedraza,us_002,us_002,Horeca,ACTIVA,Placement,acc_148,
acc_050,La maquina Jorge Juan,us_001,us_001,Horeca,SEGUIMIENTO,Placement,acc_148,
acc_051,Costa Este,us_003,us_003,Horeca,SEGUIMIENTO,Placement,acc_139,
acc_052,Hotel Welington,us_002,us_002,Horeca,SEGUIMIENTO,Placement,acc_148,
acc_053,Trocadero,us_002,us_002,Horeca,SEGUIMIENTO,Placement,acc_148,
acc_054,Fondeo,us_002,us_002,Horeca,SEGUIMIENTO,Placement,acc_148,
acc_055,El Enemigo,us_002,us_002,Horeca,SEGUIMIENTO,Placement,acc_148,
acc_056,Copa de Balón ,us_002,us_002,Horeca,SEGUIMIENTO,Placement,acc_148,
acc_057,Real Club de Golf de Sotongrande,us_002,us_002,Horeca,ACTIVA,Placement,,
acc_058,Wondermarket. Keila,us_002,us_002,Retail,SEGUIMIENTO,Placement,acc_148,
acc_059,Catering Laurel,us_001,us_001,Horeca,SEGUIMIENTO,Placement,acc_148,
acc_060,Sea Beach,us_003,us_003,Horeca,SEGUIMIENTO,Placement,acc_139,
acc_061,Grupo Hyatt ,us_003,us_003,Horeca,SEGUIMIENTO,Placement,acc_140,
acc_062,AN Group,us_003,us_003,Horeca,SEGUIMIENTO,Placement,acc_139,
acc_063,Kiss chupitos ,us_002,us_002,Horeca,SEGUIMIENTO,Placement,acc_148,
acc_064,Bokaxankla:,us_002,us_002,Horeca,SEGUIMIENTO,Placement,acc_148,
acc_065,Trompo,us_002,us_002,Horeca,SEGUIMIENTO,Placement,acc_148,
acc_066,Florida Park,us_002,us_002,Horeca,SEGUIMIENTO,Placement,acc_148,
acc_067,Bajío,us_002,us_002,Horeca,SEGUIMIENTO,Placement,acc_148,
acc_068,La Boheme,us_999,,Horeca,SEGUIMIENTO,Placement,,
acc_069,Los Peñotes,us_999,,Horeca,SEGUIMIENTO,Placement,,
acc_070,Ciboulet,us_002,us_002,Horeca,SEGUIMIENTO,Placement,acc_148,
acc_071,NH,us_002,us_002,Horeca,SEGUIMIENTO,Placement,acc_148,
acc_072,AC ,us_002,us_002,Horeca,SEGUIMIENTO,Placement,acc_148,
acc_073,Café de París,us_002,us_002,Horeca,SEGUIMIENTO,Placement,acc_148,
acc_074,Bar Nuevo M40,us_002,us_002,Horeca,SEGUIMIENTO,Placement,acc_148,
acc_075,Noname,us_002,us_002,Horeca,SEGUIMIENTO,Placement,acc_148,
acc_076,Liquor Store,us_002,us_002,Horeca,SEGUIMIENTO,Placement,acc_148,
