id,reason,itemId,lotNumber,qty,uom,fromLocation,toLocationId,occurredAt,createdAt,goodsReceiptId,prodOrderId,orderId,shipmentId
sm_0001,receipt,item_rm_agave,LAGV-2509-01,500,kg,,RM/MAIN,2025-09-20T10:00:00Z,2025-09-20T10:00:00Z,GR-2509-001,,,
sm_0002,receipt,item_rm_agave,LAGV-2509-02,300,kg,,RM/MAIN,2025-09-20T10:10:00Z,2025-09-20T10:10:00Z,GR-2509-001,,,
sm_0003,receipt,item_rm_lime,LLIM-2509-01,800,L,,RM/MAIN,2025-09-20T10:20:00Z,2025-09-20T10:20:00Z,GR-2509-001,,,
sm_0004,receipt,item_rm_tequila_blend,LTQ-2509-01,600,L,,RM/MAIN,2025-09-20T10:30:00Z,2025-09-20T10:30:00Z,GR-2509-001,,,
sm_0005,receipt,item_rm_sugar,LSUG-2509-01,400,kg,,RM/MAIN,2025-09-20T10:40:00Z,2025-09-20T10:40:00Z,GR-2509-001,,,
sm_0006,receipt,item_rm_co2,LCO2-2509-01,100,kg,,RM/MAIN,2025-09-20T10:50:00Z,2025-09-20T10:50:00Z,GR-2509-001,,,
sm_0007,receipt,item_pk_bottle_330,PKB-2509-01,5000,unit,,PK/MAIN,2025-09-20T11:00:00Z,2025-09-20T11:00:00Z,GR-2509-002,,,
sm_0008,receipt,item_pk_cap_26,PKC-2509-01,5000,unit,,PK/MAIN,2025-09-20T11:05:00Z,2025-09-20T11:05:00Z,GR-2509-002,,,
sm_0009,receipt,item_pk_label_fg,PKL-2509-01,10000,unit,,PK/MAIN,2025-09-20T11:10:00Z,2025-09-20T11:10:00Z,GR-2509-002,,,
sm_0010,consumption,item_rm_tequila_blend,LTQ-2509-01,-600,L,RM/MAIN,PROD/LINE1,2025-09-21T08:40:00Z,2025-09-21T08:40:00Z,,PO-2509-001,,
sm_0011,consumption,item_rm_lime,LLIM-2509-01,-100,L,RM/MAIN,PROD/LINE1,2025-09-21T08:42:00Z,2025-09-21T08:42:00Z,,PO-2509-001,,
sm_0012,consumption,item_rm_agave,LAGV-2509-01,-60,kg,RM/MAIN,PROD/LINE1,2025-09-21T08:45:00Z,2025-09-21T08:45:00Z,,PO-2509-001,,
sm_0013,consumption,item_rm_sugar,LSUG-2509-01,-40,kg,RM/MAIN,PROD/LINE1,2025-09-21T08:46:00Z,2025-09-21T08:46:00Z,,PO-2509-001,,
sm_0014,consumption,item_rm_co2,LCO2-2509-01,-2,kg,RM/MAIN,PROD/LINE1,2025-09-21T08:47:00Z,2025-09-21T08:47:00Z,,PO-2509-001,,
