ID,accoutid,CLIENTE,FECHA,TOTAL,ESTADO,FLOW,CANAL,CAJAS
DIR-#1003,shopify,Venta Online,2025-05-26,47.99,paid,DIRECT,ONLINE,0.0
DIR-nan,acc_147,Ingo Gestión de activos,2025-06-26,288.0,paid,DIRECT,PRIVADA,6.0
DIR-nan,acc_147,Ingo Gestión de activos,2025-06-26,480.0,paid,DIRECT,PRIVADA,10.0
DIR-#1005,shopify,Venta Online,2025-06-27,175.25,paid,DIRECT,ONLINE,2.0
DIR-nan,acc_147,Ingo Gestión de activos,2025-07-01,960.0,paid,DIRECT,PRIVADA,20.0
DIR-nan,acc_147,Ingo Gestión de activos,2025-07-04,480.0,paid,DIRECT,PRIVADA,10.0
DIR-#1007,shopify,Venta Online,2025-07-05,124.37,paid,DIRECT,ONLINE,1.0
DIR-#1007,shopify,Venta Online,2025-07-17,54.5,paid,DIRECT,ONLINE,0.0
DIR-#1008,shopify,Venta Online,2025-07-18,105.6,paid,DIRECT,ONLINE,1.0
DIR-#1009,shopify,Venta Online,2025-07-18,144.0,paid,DIRECT,ONLINE,1.0
DIR-#1010,shopify,Venta Online,2025-07-21,132.0,paid,DIRECT,ONLINE,1.0
DIR-#1011,shopify,Venta Online,2025-07-24,132.0,paid,DIRECT,ONLINE,1.0
DIR-#1012,shopify,Venta Online,2025-07-27,264.0,paid,DIRECT,ONLINE,2.0
DIR-#1013,shopify,Venta Online,2025-07-28,528.0,paid,DIRECT,ONLINE,5.0
DIR-#1014,shopify,Venta Online,2025-07-28,264.0,paid,DIRECT,ONLINE,2.0
DIR-#1015,shopify,Venta Online,2025-07-28,120.0,paid,DIRECT,ONLINE,1.0
DIR-#1016,shopify,Venta Online,2025-07-28,105.6,paid,DIRECT,ONLINE,1.0
DIR-#1017,shopify,Venta Online,2025-07-29,105.6,paid,DIRECT,ONLINE,1.0
DIR-nan,acc_146,Quirites Inmobiliaria,2025-07-30,414.0,paid,DIRECT,PRIVADA,6.0
DIR-#1018,shopify,Venta Online,2025-07-30,66.0,paid,DIRECT,ONLINE,1.0
DIR-#1019,shopify,Venta Online,2025-08-01,66.0,paid,DIRECT,ONLINE,1.0
DIR-#1020,shopify,Venta Online,2025-08-02,105.6,paid,DIRECT,ONLINE,1.0
DIR-#1021,shopify,Venta Online,2025-08-04,105.6,paid,DIRECT,ONLINE,1.0
DIR-#1022,shopify,Venta Online,2025-08-04,105.6,paid,DIRECT,ONLINE,1.0
DIR-#1023,shopify,Venta Online,2025-08-04,105.6,paid,DIRECT,ONLINE,1.0
DIR-#1024,shopify,Venta Online,2025-08-04,105.6,paid,DIRECT,ONLINE,1.0
DIR-#1025,shopify,Venta Online,2025-08-04,26.5,paid,DIRECT,ONLINE,0.0
DIR-#1026,shopify,Venta Online,2025-08-05,105.6,paid,DIRECT,ONLINE,1.0
DIR-#1027,shopify,Venta Online,2025-08-05,44.9,paid,DIRECT,ONLINE,0.0
DIR-#1028,shopify,Venta Online,2025-08-06,105.6,paid,DIRECT,ONLINE,1.0
DIR-#1029,shopify,Venta Online,2025-08-06,105.6,paid,DIRECT,ONLINE,1.0
DIR-#1031,shopify,Venta Online,2025-08-09,44.9,paid,DIRECT,ONLINE,0.0
DIR-#1032,shopify,Venta Online,2025-08-10,105.6,paid,DIRECT,ONLINE,1.0
DIR-nan,shopify,Venta Online,2025-08-10,47.78,paid,DIRECT,ONLINE,0.0
